Timestamp,Hvor mange 3d-printere har du i aktiv bruk i dag?,Hvor mange kilo PLA filament kjøper du per år?,Hvilken diameter bruker du (mest)?,Hva er det meste du er villig til å betale for norskprodusert PLA filament?,Hvilke farger bruker du mest? (maks 3 valg),Hvor mye PLA filament kan du levere til gjenvinning per år?,Vil du høre mer via epost når vi lanserer?,Har du noen tilbakemeldinger eller tips til oss?,Hvor i Norge bor du?
2/17/2018 15:34:51,,0,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit, Klar",,,Nei,
2/17/2018 16:20:34,2,10,1.75 mm,350 kr / kg,"Sort, Hvit",2,,,
2/17/2018 16:21:15,1,3,1.75 mm,400 kr / kg,"Hvit, Grå, Grønn",2,,,
2/17/2018 16:22:56,2,4,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit, Grå",1,,,
2/17/2018 16:23:54,4,9,2.85 mm,400 kr / kg,"Sort, Grå, Rød",4,,,
2/17/2018 16:24:20,1,5,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit",1,,,
2/17/2018 16:24:58,1,6,1.75 mm,350 kr / kg,"Sort, Hvit, Grå",0,,,
2/17/2018 16:25:48,2,6,1.75 mm,350 kr / kg,"Hvit, Blå, Eksotiske filament",2,,,
2/17/2018 16:25:51,1,4,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit, Grå",1,,"Jeg ser ingen grunn til å betale ekstra for ""norskprodusert"" filament. Kvalitet er kvalitet, uansett hvor det kommer fra. Vil mye heller ha flere aktører på markedet som importerer og selger filament fra eksisterende produsenter enn en liten norsk aktør uten andre ambisjoner enn  å være norsk. ",
2/17/2018 16:26:46,1,8,1.75 mm,350 kr / kg,"Hvit, Blå, Rød",6,,,
2/17/2018 16:29:07,0,1,1.75 mm,mindre enn 300 kr/kg,"Blå, Grønn, Rød",0,,,
2/17/2018 16:30:18,1,5,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit, Grå",5,,,
2/17/2018 16:31:02,3,10,1.75 mm,mindre enn 300 kr/kg,"Sort, Grå, Rød",2,,,
2/17/2018 16:31:08,2,0,1.75 mm,300 kr / kg,Rød,0,,Generisk pla er lite intressant. Prøv heller å levere høyere ytelse,
2/17/2018 16:31:28,2,10,1.75 mm,mindre enn 300 kr/kg,"Sort, Grå",4,,Fint om dere kan gjenbruke gamle tromler også.,
2/17/2018 16:32:13,1,10,1.75 mm,mindre enn 300 kr/kg,Hvit,3,,,
2/17/2018 16:32:43,3,10,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit",3,,,
2/17/2018 16:33:25,1,2,1.75 mm,350 kr / kg,"Sort, Hvit, Blå",0,,,
2/17/2018 16:35:02,1,6,1.75 mm,350 kr / kg,"Sort, Hvit, Grå",1,,,
2/17/2018 16:39:15,2,4,1.75 mm,350 kr / kg,"Sort, Blå, Rød",2,,,
2/17/2018 16:39:18,1,5,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit",0,,,
2/17/2018 16:42:58,2,10,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit, Grå",2,,,
2/17/2018 16:44:49,1,8,1.75 mm,350 kr / kg,"Sort, Hvit, Rød",2,,,
2/17/2018 16:45:17,2,10,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit, Rød",2,,,
2/17/2018 16:47:41,1,10,1.75 mm,300 kr / kg,"Sort, Hvit, Rød",1,,,
2/17/2018 16:50:14,1,4,1.75 mm,300 kr / kg,Sort,1,,,
2/17/2018 16:50:34,3,7,1.75 mm,300 kr / kg,"Sort, Hvit",1,,,
2/17/2018 16:52:44,2,0,1.75 mm,mindre enn 300 kr/kg,"Sort, Blå, Rød",0,,,
2/17/2018 16:53:08,1,3,1.75 mm,350 kr / kg,"Sort, Hvit, Rød",0,,,
2/17/2018 16:55:18,1,10,1.75 mm,350 kr / kg,"Sort, Hvit, Grå",3,,,
2/17/2018 16:58:14,2,10,1.75 mm,300 kr / kg,"Hvit, Blå, Rød",2,,,Option 1
2/17/2018 16:59:57,1,10,1.75 mm,mindre enn 300 kr/kg,"Sort, Hvit, Grå",3,,"Sorry, men her tror jeg dere bommer.",4879
2/17/2018 17:03:23,1,8,1.75 mm,mindre enn 300 kr/kg,"Sort, Blå, Rød",4,,,2450 rena
2/17/2018 17:04:49,1,8,1.75 mm,350 kr / kg,"Hvit, Blå",2,,,Oslo
2/17/2018 17:05:04,1,10,2.85 mm,300 kr / kg,"Blå, Grønn, Rød",3,,,
